condition,timepoint,R-AC_mean,R-AC_sd,S-AC_mean,S-AC_sd,SS-BDO_mean,SS-BDO_sd,RR-BDO_mean,RR-BDO_sd,M-BDO_mean,M-BDO_sd,Total_mean,Total_sd
e,46,0.11520166857154616,0.0010470346228683904,0.20212544787225026,0.013681355488718286,4.237589988734665,0.028385214268724902,0,0,0.09937614586586464,0.00399934630443106,4.654293251044327,0.040126216803048995
f,6,0.13948958945227452,0.0013358841837795704,2.474179635436213,0.07123429476700766,1.1206507449704577,0.03802499813939608,0,0,1.3086140567096103,0.016541216952980484,5.042934026568555,0.05108639776437163
f,11,0.13997051442729905,0.0010790716359719203,2.073130688456415,0.032054943699276015,1.6648900414528196,0.022942964866005416,0,0,1.0113669766612134,0.020918114622059284,4.889358220997747,0.04218240300937267
f,24,0,0,1.4629624511124755,0.030528121444031574,2.555816924739891,0.055685149168580805,0,0,0.6628606710767854,0.01983063465929903,4.681640046929152,0.058606941045029455
f,46,0.1619021341160785,0.0012779684718433142,1.119644353725065,0.02431638215290706,3.1032761042696593,0.03259634417719871,0,0,0.4499052002739323,0.01293839029670228,4.834727792384735,0.04106476993960874
g,6,0.08901297983655919,0.07777953880193844,0.3567044646904052,0.10449592480590261,0.5490619800295242,0.11541099238568614,0.1277344515373351,0.010279243481029732,4.190187940757635,0.11029717717004729,5.312701816851459,0.08267583205384751
g,11,0.035111936472110576,0.06081565792182624,0.35670997152495765,0.06619806313196011,0.5333596647152716,0.08054505328808134,0.12562512609758056,0.011978967364230821,4.250713985548331,0.14698221291006058,5.301520684358252,0.09090391709467775
g,24,0,0,0.36276319422248887,0.06130801724580663,0.5287846086442065,0.07584440404540857,0.12218186834185354,0.008691896121199623,4.193678557799761,0.12318744974122794,5.20740822900831,0.12688277735844267
g,46,0.10664681582818865,0.006606331688971227,0.3569514822090384,0.06427408268125416,0.538580822409586,0.07693548083004338,0.12510119208531245,0.012743662396236448,4.225286370205728,0.09178140347684415,5.352566682737853,0.07526840002624759
h,6,0,0,0,0,0,0,0,0,4.585172125475625,0.041482259402963025,4.585172125475625,0.041482259402963025
h,11,0,0,0,0,0,0,0,0,4.53625578407263,0.04962891600462206,4.53625578407263,0.04962891600462206
h,24,0,0,0,0,0,0,0,0,4.504436214657631,0.08241890355361288,4.504436214657631,0.08241890355361288
h,46,0,0,0,0,0,0,0,0,4.530998137302062,0.028956172091513587,4.530998137302062,0.028956172091513587
i,0,0,0,0,0,0,0,0,0,5.10004660211088,0.11657771282326805,5.10004660211088,0.11657771282326805
